timestamp,batch_type,source,filename,mbid,status,fingerprint_count,processing_time_sec,error_message
2026-02-10 19:11:11,local_batch,D:\Adarsh Shukla latest\python 3.13\MusiCNN\musicapp\500_songs\train,Aaj Koi Baat Ho Gayi.mp3,Aaj_Koi_Baat_Ho_Gayi_df58ce4,failed,0,0.179,No fingerprints generated
2026-02-10 19:11:11,local_batch,D:\Adarsh Shukla latest\python 3.13\MusiCNN\musicapp\500_songs\train,Aaj Sajeya.mp3,Aaj_Sajeya_f3acd58,skipped,0,0.005,Already exists in database
2026-02-10 19:11:11,local_batch,D:\Adarsh Shukla latest\python 3.13\MusiCNN\musicapp\500_songs\train,Aaj Sik Mitran Di.mp3,Aaj_Sik_Mitran_Di_2744240,skipped,0,0.005,Already exists in database
2026-02-10 19:51:42,local_batch,AANKH_024b5ec
2026-02-10 19:51:50,local_batch,Aankhon_Aankhon_50a5750
2026-02-10 19:52:00,local_batch,Aas_Paas_Khuda_c77f296
2026-02-10 19:52:06,local_batch,Acróstico_-_Milan_+_Sasha_06defac
2026-02-10 19:52:11,local_batch,Addicted_to_You_5f5406a
2026-02-10 19:52:21,local_batch,Ain’t_How_It_Ends_ec6f200
2026-02-10 19:52:32,local_batch,Ajj_Din_Chadheya_04ee8d6
